tool	rank	metric	sample	value
Gold standard	strain	False positives	3	0.0
Gold standard	strain	Completeness	3	1.0
Gold standard	strain	Purity	3	1.0
Gold standard	strain	F1 score	3	1.0
Gold standard	strain	Jaccard index	3	1.0
Gold standard	cellular root	L1 norm error	3	0.0
Gold standard	domain	L1 norm error	3	0.0
Gold standard	kingdom	L1 norm error	3	0.0
Gold standard	phylum	L1 norm error	3	0.0
Gold standard	class	L1 norm error	3	0.0
Gold standard	order	L1 norm error	3	0.0
Gold standard	family	L1 norm error	3	0.0
Gold standard	genus	L1 norm error	3	0.0
Gold standard	species	L1 norm error	3	0.0
Gold standard	strain	L1 norm error	3	0.0
Gold standard	na	Weighted UniFrac error	3	0.0
Gold standard	na	Unweighted UniFrac error	3	0.0
Gold standard	na	Weighted UniFrac (CAMI)	3	0.0
Gold standard	na	Unweighted UniFrac (CAMI)	3	0.0
Gold standard	cellular root	Sum of abundances	3	1.0
Gold standard	domain	Sum of abundances	3	1.0
Gold standard	kingdom	Sum of abundances	3	1.000001
Gold standard	phylum	Sum of abundances	3	1.0000019999999998
Gold standard	class	Sum of abundances	3	1.0
Gold standard	order	Sum of abundances	3	0.999974
Gold standard	family	Sum of abundances	3	0.99976
Gold standard	genus	Sum of abundances	3	1.000009
Gold standard	species	Sum of abundances	3	1.000018
Gold standard	strain	Sum of abundances	3	1.000043
Gold standard	cellular root	Taxon counts	3	1.0
Gold standard	domain	Taxon counts	3	2.0
Gold standard	kingdom	Taxon counts	3	5.0
Gold standard	phylum	Taxon counts	3	11.0
Gold standard	class	Taxon counts	3	18.0
Gold standard	order	Taxon counts	3	28.0
Gold standard	family	Taxon counts	3	48.0
Gold standard	genus	Taxon counts	3	83.0
Gold standard	species	Taxon counts	3	125.0
Gold standard	strain	Taxon counts	3	181.0
Gold standard	cellular root	Bray-Curtis distance	4	0.0
Gold standard	domain	Bray-Curtis distance	4	0.0
Gold standard	kingdom	Bray-Curtis distance	4	0.0
Gold standard	phylum	Bray-Curtis distance	4	0.0
Gold standard	class	Bray-Curtis distance	4	0.0
Gold standard	order	Bray-Curtis distance	4	0.0
Gold standard	family	Bray-Curtis distance	4	0.0
Gold standard	genus	Bray-Curtis distance	4	0.0
Gold standard	species	Bray-Curtis distance	4	0.0
Gold standard	strain	Bray-Curtis distance	4	0.0
Gold standard	cellular root	Shannon diversity	4	0.0
